Series_Title,Genre,Director,Star1,Star2,Star3,Star4
Les triplettes de Belleville,"Animation, Comedy, Drama",Sylvain Chomet,Michèle Caucheteux,Jean-Claude Donda,Michel Robin,Monica Viegas
Gongdong gyeongbi guyeok JSA,"Action, Drama, Thriller",Chan-wook Park,Lee Yeong-ae,Lee Byung-Hun,Kang-ho Song,Kim Tae-Woo
The Count of Monte Cristo,"Action, Adventure, Drama",Kevin Reynolds,Jim Caviezel,Guy Pearce,Christopher Adamson,JB Blanc
Waking Life,"Animation, Drama, Fantasy",Richard Linklater,Ethan Hawke,Trevor Jack Brooks,Lorelei Linklater,Wiley Wiggins
Remember the Titans,"Biography, Drama, Sport",Boaz Yakin,Denzel Washington,Will Patton,Wood Harris,Ryan Hurst
Wo hu cang long,"Action, Adventure, Fantasy",Ang Lee,Yun-Fat Chow,Michelle Yeoh,Ziyi Zhang,Chen Chang
Todo sobre mi madre,Drama,Pedro Almodóvar,Cecilia Roth,Marisa Paredes,Candela Peña,Antonia San Juan
Cast Away,"Adventure, Drama, Romance",Robert Zemeckis,Tom Hanks,Helen Hunt,Paul Sanchez,Lari White
The Boondock Saints,"Action, Crime, Thriller",Troy Duffy,Willem Dafoe,Sean Patrick Flanery,Norman Reedus,David Della Rocco
The Insider,"Biography, Drama, Thriller",Michael Mann,Russell Crowe,Al Pacino,Christopher Plummer,Diane Venora
October Sky,"Biography, Drama, Family",Joe Johnston,Jake Gyllenhaal,Chris Cooper,Laura Dern,Chris Owen
Shrek,"Animation, Adventure, Comedy",Andrew Adamson,Vicky Jenson,Mike Myers,Eddie Murphy,Cameron Diaz
Titanic,"Drama, Romance",James Cameron,Leonardo DiCaprio,Kate Winslet,Billy Zane,Kathy Bates
Hana-bi,"Crime, Drama, Romance",Takeshi Kitano,Takeshi Kitano,Kayoko Kishimoto,Ren Osugi,Susumu Terajima
Gattaca,"Drama, Sci-Fi, Thriller",Andrew Niccol,Ethan Hawke,Uma Thurman,Jude Law,Gore Vidal
The Game,"Action, Drama, Mystery",David Fincher,Michael Douglas,Deborah Kara Unger,Sean Penn,James Rebhorn
Breaking the Waves,Drama,Lars von Trier,Emily Watson,Stellan Skarsgård,Katrin Cartlidge,Jean-Marc Barr
Ed Wood,"Biography, Comedy, Drama",Tim Burton,Johnny Depp,Martin Landau,Sarah Jessica Parker,Patricia Arquette
What's Eating Gilbert Grape,Drama,Lasse Hallström,Johnny Depp,Leonardo DiCaprio,Juliette Lewis,Mary Steenburgen
Tombstone,"Action, Biography, Drama",George P. Cosmatos,Kevin Jarre,Kurt Russell,Val Kilmer,Sam Elliott
The Sandlot,"Comedy, Drama, Family",David Mickey Evans,Tom Guiry,Mike Vitar,Art LaFleur,Patrick Renna
The Remains of the Day,"Drama, Romance",James Ivory,Anthony Hopkins,Emma Thompson,John Haycraft,Christopher Reeve
Naked,"Comedy, Drama",Mike Leigh,David Thewlis,Lesley Sharp,Katrin Cartlidge,Greg Cruttwell
The Fugitive,"Action, Crime, Drama",Andrew Davis,Harrison Ford,Tommy Lee Jones,Sela Ward,Julianne Moore
A Bronx Tale,"Crime, Drama, Romance",Robert De Niro,Robert De Niro,Chazz Palminteri,Lillo Brancato,Francis Capra
Batman: Mask of the Phantasm,"Animation, Action, Crime",Kevin Altieri,Boyd Kirkland,Frank Paur,Dan Riba,Eric Radomski
Lat sau san taam,"Action, Crime, Thriller",John Woo,Yun-Fat Chow,Tony Chiu-Wai Leung,Teresa Mo,Philip Chan
Night on Earth,"Comedy, Drama",Jim Jarmusch,Winona Ryder,Gena Rowlands,Lisanne Falk,Alan Randolph Scott
La double vie de Véronique,"Drama, Fantasy, Music",Krzysztof Kieslowski,Irène Jacob,Wladyslaw Kowalski,Halina Gryglaszewska,Kalina Jedrusik
Boyz n the Hood,"Crime, Drama",John Singleton,Cuba Gooding Jr.,Laurence Fishburne,Hudhail Al-Amir,Lloyd Avery II
Misery,"Drama, Thriller",Rob Reiner,James Caan,Kathy Bates,Richard Farnsworth,Frances Sternhagen
Awakenings,"Biography, Drama",Penny Marshall,Robert De Niro,Robin Williams,Julie Kavner,Ruth Nelson
Majo no takkyûbin,"Animation, Adventure, Drama",Hayao Miyazaki,Kirsten Dunst,Minami Takayama,Rei Sakuma,Kappei Yamaguchi
Glory,"Biography, Drama, History",Edward Zwick,Matthew Broderick,Denzel Washington,Cary Elwes,Morgan Freeman
Dip huet seung hung,"Action, Crime, Drama",John Woo,Yun-Fat Chow,Danny Lee,Sally Yeh,Kong Chu
Back to the Future Part II,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Thomas F. Wilson
Mississippi Burning,"Crime, Drama, History",Alan Parker,Gene Hackman,Willem Dafoe,Frances McDormand,Brad Dourif
Predator,"Action, Adventure, Sci-Fi",John McTiernan,Arnold Schwarzenegger,Carl Weathers,Kevin Peter Hall,Elpidia Carrillo
Evil Dead II,"Action, Comedy, Fantasy",Sam Raimi,Bruce Campbell,Sarah Berry,Dan Hicks,Kassie Wesley DePaiva
Ferris Bueller's Day Off,Comedy,John Hughes,Matthew Broderick,Alan Ruck,Mia Sara,Jeffrey Jones
Down by Law,"Comedy, Crime, Drama",Jim Jarmusch,Tom Waits,John Lurie,Roberto Benigni,Nicoletta Braschi
The Goonies,"Adventure, Comedy, Family",Richard Donner,Sean Astin,Josh Brolin,Jeff Cohen,Corey Feldman
The Color Purple,Drama,Steven Spielberg,Danny Glover,Whoopi Goldberg,Oprah Winfrey,Margaret Avery
The Breakfast Club,"Comedy, Drama",John Hughes,Emilio Estevez,Judd Nelson,Molly Ringwald,Ally Sheedy
The Killing Fields,"Biography, Drama, History",Roland Joffé,Sam Waterston,Haing S. Ngor,John Malkovich,Julian Sands
Ghostbusters,"Action, Comedy, Fantasy",Ivan Reitman,Bill Murray,Dan Aykroyd,Sigourney Weaver,Harold Ramis
The Right Stuff,"Adventure, Biography, Drama",Philip Kaufman,Sam Shepard,Scott Glenn,Ed Harris,Dennis Quaid
The King of Comedy,"Comedy, Crime, Drama",Martin Scorsese,Robert De Niro,Jerry Lewis,Diahnne Abbott,Sandra Bernhard
E.T. the Extra-Terrestrial,"Family, Sci-Fi",Steven Spielberg,Henry Thomas,Drew Barrymore,Peter Coyote,Dee Wallace
Kramer vs. Kramer,Drama,Robert Benton,Dustin Hoffman,Meryl Streep,Jane Alexander,Justin Henry
Days of Heaven,"Drama, Romance",Terrence Malick,Richard Gere,Brooke Adams,Sam Shepard,Linda Manz
The Outlaw Josey Wales,Western,Clint Eastwood,Clint Eastwood,Sondra Locke,Chief Dan George,Bill McKinney
The Man Who Would Be King,"Adventure, History, War",John Huston,Sean Connery,Michael Caine,Christopher Plummer,Saeed Jaffrey
The Conversation,"Drama, Mystery, Thriller",Francis Ford Coppola,Gene Hackman,John Cazale,Allen Garfield,Frederic Forrest
La planète sauvage,"Animation, Sci-Fi",René Laloux,Barry Bostwick,Jennifer Drake,Eric Baugin,Jean Topart
The Day of the Jackal,"Crime, Drama, Thriller",Fred Zinnemann,Edward Fox,Terence Alexander,Michel Auclair,Alan Badel
Badlands,"Action, Crime, Drama",Terrence Malick,Martin Sheen,Sissy Spacek,Warren Oates,Ramon Bieri
Cabaret,"Drama, Music, Musical",Bob Fosse,Liza Minnelli,Michael York,Helmut Griem,Joel Grey
Willy Wonka & the Chocolate Factory,"Family, Fantasy, Musical",Mel Stuart,Gene Wilder,Jack Albertson,Peter Ostrum,Roy Kinnear
Midnight Cowboy,Drama,John Schlesinger,Dustin Hoffman,Jon Voight,Sylvia Miles,John McGiver
Wait Until Dark,Thriller,Terence Young,Audrey Hepburn,Alan Arkin,Richard Crenna,Efrem Zimbalist Jr.
Guess Who's Coming to Dinner,"Comedy, Drama",Stanley Kramer,Spencer Tracy,Sidney Poitier,Katharine Hepburn,Katharine Houghton
Bonnie and Clyde,"Action, Biography, Crime",Arthur Penn,Warren Beatty,Faye Dunaway,Michael J. Pollard,Gene Hackman
My Fair Lady,"Drama, Family, Musical",George Cukor,Audrey Hepburn,Rex Harrison,Stanley Holloway,Wilfrid Hyde-White
Mary Poppins,"Comedy, Family, Fantasy",Robert Stevenson,Julie Andrews,Dick Van Dyke,David Tomlinson,Glynis Johns
The Longest Day,"Action, Drama, History",Ken Annakin,Andrew Marton,Gerd Oswald,Bernhard Wicki,Darryl F. Zanuck
Jules et Jim,"Drama, Romance",François Truffaut,Jeanne Moreau,Oskar Werner,Henri Serre,Vanna Urbino
The Innocents,Horror,Jack Clayton,Deborah Kerr,Peter Wyngarde,Megs Jenkins,Michael Redgrave
À bout de souffle,"Crime, Drama",Jean-Luc Godard,Jean-Paul Belmondo,Jean Seberg,Daniel Boulanger,Henri-Jacques Huet
Red River,"Action, Adventure, Drama",Howard Hawks,Arthur Rosson,John Wayne,Montgomery Clift,Joanne Dru
Key Largo,"Action, Crime, Drama",John Huston,Humphrey Bogart,Edward G. Robinson,Lauren Bacall,Lionel Barrymore
To Have and Have Not,"Adventure, Comedy, Film-Noir",Howard Hawks,Humphrey Bogart,Lauren Bacall,Walter Brennan,Dolores Moran
Shadow of a Doubt,"Film-Noir, Thriller",Alfred Hitchcock,Teresa Wright,Joseph Cotten,Macdonald Carey,Henry Travers
Stagecoach,"Adventure, Drama, Western",John Ford,John Wayne,Claire Trevor,Andy Devine,John Carradine
The Lady Vanishes,"Mystery, Thriller",Alfred Hitchcock,Margaret Lockwood,Michael Redgrave,Paul Lukas,May Whitty
Bringing Up Baby,"Comedy, Family, Romance",Howard Hawks,Katharine Hepburn,Cary Grant,Charles Ruggles,Walter Catlett
Bride of Frankenstein,"Drama, Horror, Sci-Fi",James Whale,Boris Karloff,Elsa Lanchester,Colin Clive,Valerie Hobson
Duck Soup,"Comedy, Musical, War",Leo McCarey,Groucho Marx,Harpo Marx,Chico Marx,Zeppo Marx
Scarface: The Shame of the Nation,"Action, Crime, Drama",Howard Hawks,Richard Rosson,Paul Muni,Ann Dvorak,Karen Morley
Frankenstein,"Drama, Horror, Sci-Fi",James Whale,Colin Clive,Mae Clarke,Boris Karloff,John Boles
Roma,Drama,Alfonso Cuarón,Yalitza Aparicio,Marina de Tavira,Diego Cortina Autrey,Carlos Peralta
God's Own Country,"Drama, Romance",Francis Lee,Josh O'Connor,Alec Secareanu,Gemma Jones,Ian Hart
Deadpool 2,"Action, Adventure, Comedy",David Leitch,Ryan Reynolds,Josh Brolin,Morena Baccarin,Julian Dennison
Wind River,"Crime, Drama, Mystery",Taylor Sheridan,Kelsey Asbille,Jeremy Renner,Julia Jones,Teo Briones
Get Out,"Horror, Mystery, Thriller",Jordan Peele,Daniel Kaluuya,Allison Williams,Bradley Whitford,Catherine Keener
Mission: Impossible - Fallout,"Action, Adventure, Thriller",Christopher McQuarrie,Tom Cruise,Henry Cavill,Ving Rhames,Simon Pegg
En man som heter Ove,"Comedy, Drama, Romance",Hannes Holm,Rolf Lassgård,Bahar Pars,Filip Berg,Ida Engvoll
What We Do in the Shadows,"Comedy, Horror",Jemaine Clement,Taika Waititi,Jemaine Clement,Taika Waititi,Cori Gonzalez-Macuer
Omoide no Mânî,"Animation, Drama, Family",James Simone,Hiromasa Yonebayashi,Sara Takatsuki,Kasumi Arimura,Nanako Matsushima
The Theory of Everything,"Biography, Drama, Romance",James Marsh,Eddie Redmayne,Felicity Jones,Tom Prior,Sophie Perry
Kingsman: The Secret Service,"Action, Adventure, Comedy",Matthew Vaughn,Colin Firth,Taron Egerton,Samuel L. Jackson,Michael Caine
The Fault in Our Stars,"Drama, Romance",Josh Boone,Shailene Woodley,Ansel Elgort,Nat Wolff,Laura Dern
Me and Earl and the Dying Girl,"Comedy, Drama",Alfonso Gomez-Rejon,Thomas Mann,RJ Cyler,Olivia Cooke,Nick Offerman
Birdman or (The Unexpected Virtue of Ignorance),"Comedy, Drama",Alejandro G. Iñárritu,Michael Keaton,Zach Galifianakis,Edward Norton,Andrea Riseborough
La vie d'Adèle,"Drama, Romance",Abdellatif Kechiche,Léa Seydoux,Adèle Exarchopoulos,Salim Kechiouche,Aurélien Recoing
Kai po che!,"Drama, Sport",Abhishek Kapoor,Amit Sadh,Sushant Singh Rajput,Rajkummar Rao,Amrita Puri
The Broken Circle Breakdown,"Drama, Music, Romance",Felix van Groeningen,Veerle Baetens,Johan Heldenbergh,Nell Cattrysse,Geert Van Rampelberg
Captain America: The Winter Soldier,"Action, Adventure, Sci-Fi",Anthony Russo,Joe Russo,Chris Evans,Samuel L. Jackson,Scarlett Johansson
Rockstar,"Drama, Music, Musical",Imtiaz Ali,Ranbir Kapoor,Nargis Fakhri,Shammi Kapoor,Kumud Mishra
Nebraska,"Adventure, Comedy, Drama",Alexander Payne,Bruce Dern,Will Forte,June Squibb,Bob Odenkirk
Wreck-It Ralph,"Animation, Adventure, Comedy",Rich Moore,John C. Reilly,Jack McBrayer,Jane Lynch,Sarah Silverman
Le Petit Prince,"Animation, Adventure, Drama",Mark Osborne,Jeff Bridges,Mackenzie Foy,Rachel McAdams,Marion Cotillard
Detachment,Drama,Tony Kaye,Adrien Brody,Christina Hendricks,Marcia Gay Harden,Lucy Liu
Midnight in Paris,"Comedy, Fantasy, Romance",Woody Allen,Owen Wilson,Rachel McAdams,Kathy Bates,Kurt Fuller
The Lego Movie,"Animation, Action, Adventure",Christopher Miller,Phil Lord,Chris Pratt,Will Ferrell,Elizabeth Banks
Gravity,"Drama, Sci-Fi, Thriller",Alfonso Cuarón,Sandra Bullock,George Clooney,Ed Harris,Orto Ignatiussen
Star Trek Into Darkness,"Action, Adventure, Sci-Fi",J.J. Abrams,Chris Pine,Zachary Quinto,Zoe Saldana,Benedict Cumberbatch
Beasts of No Nation,"Drama, War",Cary Joji Fukunaga,Abraham Attah,Emmanuel Affadzi,Ricky Adelayitor,Andrew Adote
The Social Network,"Biography, Drama",David Fincher,Jesse Eisenberg,Andrew Garfield,Justin Timberlake,Rooney Mara
X: First Class,"Action, Adventure, Sci-Fi",Matthew Vaughn,James McAvoy,Michael Fassbender,Jennifer Lawrence,Kevin Bacon
The Hangover,Comedy,Todd Phillips,Zach Galifianakis,Bradley Cooper,Justin Bartha,Ed Helms
Skyfall,"Action, Adventure, Thriller",Sam Mendes,Daniel Craig,Javier Bardem,Naomie Harris,Judi Dench
Silver Linings Playbook,"Comedy, Drama, Romance",David O. Russell,Bradley Cooper,Jennifer Lawrence,Robert De Niro,Jacki Weaver
Argo,"Biography, Drama, Thriller",Ben Affleck,Ben Affleck,Bryan Cranston,John Goodman,Alan Arkin
(500) Days of Summer,"Comedy, Drama, Romance",Marc Webb,Zooey Deschanel,Joseph Gordon-Levitt,Geoffrey Arend,Chloë Grace Moretz
Harry Potter and the Deathly Hallows: Part 1,"Adventure, Family, Fantasy",David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Bill Nighy
Gake no ue no Ponyo,"Animation, Adventure, Comedy",Hayao Miyazaki,Cate Blanchett,Matt Damon,Liam Neeson,Tomoko Yamaguchi
Frost/Nixon,"Biography, Drama, History",Ron Howard,Frank Langella,Michael Sheen,Kevin Bacon,Sam Rockwell
Papurika,"Animation, Drama, Fantasy",Satoshi Kon,Megumi Hayashibara,Tôru Emori,Katsunosuke Hori,Tôru Furuya
Changeling,"Biography, Crime, Drama",Clint Eastwood,Angelina Jolie,Colm Feore,Amy Ryan,Gattlin Griffith
Flipped,"Comedy, Drama, Romance",Rob Reiner,Madeline Carroll,Callan McAuliffe,Rebecca De Mornay,Anthony Edwards
Toki o kakeru shôjo,"Animation, Adventure, Comedy",Mamoru Hosoda,Riisa Naka,Takuya Ishida,Mitsutaka Itakura,Ayami Kakiuchi
Death Note: Desu nôto,"Crime, Drama, Fantasy",Shûsuke Kaneko,Tatsuya Fujiwara,Ken'ichi Matsuyama,Asaka Seto,Yû Kashii
This Is England,"Crime, Drama",Shane Meadows,Thomas Turgoose,Stephen Graham,Jo Hartley,Andrew Shim
Ex Machina,"Drama, Sci-Fi, Thriller",Alex Garland,Alicia Vikander,Domhnall Gleeson,Oscar Isaac,Sonoya Mizuno
Efter brylluppet,Drama,Susanne Bier,Mads Mikkelsen,Sidse Babett Knudsen,Rolf Lassgård,Neeral Mulchandani
The Last King of Scotland,"Biography, Drama, History",Kevin Macdonald,James McAvoy,Forest Whitaker,Gillian Anderson,Kerry Washington
Zodiac,"Crime, Drama, Mystery",David Fincher,Jake Gyllenhaal,Robert Downey Jr.,Mark Ruffalo,Anthony Edwards
Lucky Number Slevin,"Action, Crime, Drama",Paul McGuigan,Josh Hartnett,Ben Kingsley,Morgan Freeman,Lucy Liu
Joyeux Noël,"Drama, History, Music",Christian Carion,Diane Kruger,Benno Fürmann,Guillaume Canet,Natalie Dessay
Control,"Biography, Drama, Music",Anton Corbijn,Sam Riley,Samantha Morton,Craig Parkinson,Alexandra Maria Lara
Tangled,"Animation, Adventure, Comedy",Nathan Greno,Byron Howard,Mandy Moore,Zachary Levi,Donna Murphy
Zwartboek,"Drama, Thriller, War",Paul Verhoeven,Carice van Houten,Sebastian Koch,Thom Hoffman,Halina Reijn
Brokeback Mountain,"Drama, Romance",Ang Lee,Jake Gyllenhaal,Heath Ledger,Michelle Williams,Randy Quaid
3:10 to Yuma,"Action, Crime, Drama",James Mangold,Russell Crowe,Christian Bale,Ben Foster,Logan Lerman
Crash,"Crime, Drama, Thriller",Paul Haggis,Don Cheadle,Sandra Bullock,Thandie Newton,Karina Arroyave
Kung fu,"Action, Comedy, Fantasy",Stephen Chow,Stephen Chow,Wah Yuen,Qiu Yuen,Siu-Lung Leung
The Bourne Supremacy,"Action, Mystery, Thriller",Paul Greengrass,Matt Damon,Franka Potente,Joan Allen,Brian Cox
The Machinist,"Drama, Thriller",Brad Anderson,Christian Bale,Jennifer Jason Leigh,Aitana Sánchez-Gijón,John Sharian
Ray,"Biography, Drama, Music",Taylor Hackford,Jamie Foxx,Regina King,Kerry Washington,Clifton Powell
Lost in Translation,"Comedy, Drama",Sofia Coppola,Bill Murray,Scarlett Johansson,Giovanni Ribisi,Anna Faris
Harry Potter and the Goblet of Fire,"Adventure, Family, Fantasy",Mike Newell,Daniel Radcliffe,Emma Watson,Rupert Grint,Eric Sykes
Man on Fire,"Action, Crime, Drama",Tony Scott,Denzel Washington,Christopher Walken,Dakota Fanning,Radha Mitchell
Coraline,"Animation, Drama, Family",Henry Selick,Dakota Fanning,Teri Hatcher,John Hodgman,Jennifer Saunders
The Last Samurai,"Action, Drama",Edward Zwick,Tom Cruise,Ken Watanabe,Billy Connolly,William Atherton
The Magdalene Sisters,Drama,Peter Mullan,Eileen Walsh,Dorothy Duffy,Nora-Jane Noone,Anne-Marie Duff
Good Bye Lenin!,"Comedy, Drama, Romance",Wolfgang Becker,Daniel Brühl,Katrin Saß,Chulpan Khamatova,Florian Lukas
In America,Drama,Jim Sheridan,Paddy Considine,Samantha Morton,Djimon Hounsou,Sarah Bolger
I Am Sam,Drama,Jessie Nelson,Sean Penn,Michelle Pfeiffer,Dakota Fanning,Dianne Wiest
Adaptation.,"Comedy, Drama",Spike Jonze,Nicolas Cage,Meryl Streep,Chris Cooper,Tilda Swinton
Black Hawk Down,"Drama, History, War",Ridley Scott,Josh Hartnett,Ewan McGregor,Tom Sizemore,Eric Bana
Road to Perdition,"Crime, Drama, Thriller",Sam Mendes,Tom Hanks,Tyler Hoechlin,Rob Maxey,Liam Aiken
Das Experiment,"Drama, Thriller",Oliver Hirschbiegel,Moritz Bleibtreu,Christian Berkel,Oliver Stokowski,Wotan Wilke Möhring
Billy Elliot,"Drama, Music",Stephen Daldry,Jamie Bell,Julie Walters,Jean Heywood,Jamie Draven
Hedwig and the Angry Inch,"Comedy, Drama, Music",John Cameron Mitchell,John Cameron Mitchell,Miriam Shor,Stephen Trask,Theodore Liscinski
Ocean's Eleven,"Crime, Thriller",Steven Soderbergh,George Clooney,Brad Pitt,Julia Roberts,Matt Damon
Vampire Hunter D: Bloodlust,"Animation, Action, Fantasy",Yoshiaki Kawajiri,Andrew Philpot,John Rafter Lee,Pamela Adlon,Wendee Lee
"O Brother, Where Art Thou?","Adventure, Comedy, Crime",Joel Coen,Ethan Coen,George Clooney,John Turturro,Tim Blake Nelson
Interstate 60: Episodes of the Road,"Adventure, Comedy, Drama",Bob Gale,James Marsden,Gary Oldman,Kurt Russell,Matthew Edison
"South Park: Bigger, Longer & Uncut","Animation, Comedy, Fantasy",Trey Parker,Trey Parker,Matt Stone,Mary Kay Bergman,Isaac Hayes
Office Space,Comedy,Mike Judge,Ron Livingston,Jennifer Aniston,David Herman,Ajay Naidu
Happiness,"Comedy, Drama",Todd Solondz,Jane Adams,Jon Lovitz,Philip Seymour Hoffman,Dylan Baker
Training Day,"Crime, Drama, Thriller",Antoine Fuqua,Denzel Washington,Ethan Hawke,Scott Glenn,Tom Berenger
Rushmore,"Comedy, Drama, Romance",Wes Anderson,Jason Schwartzman,Bill Murray,Olivia Williams,Seymour Cassel
Abre los ojos,"Drama, Mystery, Sci-Fi",Alejandro Amenábar,Eduardo Noriega,Penélope Cruz,Chete Lera,Fele Martínez
Being John Malkovich,"Comedy, Drama, Fantasy",Spike Jonze,John Cusack,Cameron Diaz,Catherine Keener,John Malkovich
As Good as It Gets,"Comedy, Drama, Romance",James L. Brooks,Jack Nicholson,Helen Hunt,Greg Kinnear,Cuba Gooding Jr.
The Fifth Element,"Action, Adventure, Sci-Fi",Luc Besson,Bruce Willis,Milla Jovovich,Gary Oldman,Ian Holm
Le dîner de cons,Comedy,Francis Veber,Thierry Lhermitte,Jacques Villeret,Francis Huster,Daniel Prévost
Donnie Brasco,"Biography, Crime, Drama",Mike Newell,Al Pacino,Johnny Depp,Michael Madsen,Bruno Kirby
Shine,"Biography, Drama, Music",Scott Hicks,Geoffrey Rush,Armin Mueller-Stahl,Justin Braine,Sonia Todd
Primal Fear,"Crime, Drama, Mystery",Gregory Hoblit,Richard Gere,Laura Linney,Edward Norton,John Mahoney
Hamlet,Drama,Kenneth Branagh,Kenneth Branagh,Julie Christie,Derek Jacobi,Kate Winslet
A Little Princess,"Drama, Family, Fantasy",Alfonso Cuarón,Liesel Matthews,Eleanor Bron,Liam Cunningham,Rusty Schwimmer
Do lok tin si,"Comedy, Crime, Drama",Kar-Wai Wong,Leon Lai,Michelle Reis,Takeshi Kaneshiro,Charlie Yeung
Il postino,"Biography, Comedy, Drama",Michael Radford,Massimo Troisi,Massimo Troisi,Philippe Noiret,Maria Grazia Cucinotta
Clerks,Comedy,Kevin Smith,Brian O'Halloran,Jeff Anderson,Marilyn Ghigliotti,Lisa Spoonauer
Short Cuts,"Comedy, Drama",Robert Altman,Andie MacDowell,Julianne Moore,Tim Robbins,Bruce Davison
Philadelphia,Drama,Jonathan Demme,Tom Hanks,Denzel Washington,Roberta Maxwell,Buzz Kilman
The Muppet Christmas Carol,"Comedy, Drama, Family",Brian Henson,Michael Caine,Kermit the Frog,Dave Goelz,Miss Piggy
Malcolm X,"Biography, Drama, History",Spike Lee,Denzel Washington,Angela Bassett,Delroy Lindo,Spike Lee
The Last of the Mohicans,"Action, Adventure, Drama",Michael Mann,Daniel Day-Lewis,Madeleine Stowe,Russell Means,Eric Schweig
Kurenai no buta,"Animation, Adventure, Comedy",Hayao Miyazaki,Shûichirô Moriyama,Tokiko Katô,Bunshi Katsura Vi,Tsunehiko Kamijô
Glengarry Glen Ross,"Crime, Drama, Mystery",James Foley,Al Pacino,Jack Lemmon,Alec Baldwin,Alan Arkin
A Few Good Men,"Drama, Thriller",Rob Reiner,Tom Cruise,Jack Nicholson,Demi Moore,Kevin Bacon
Fried Green Tomatoes,Drama,Jon Avnet,Kathy Bates,Jessica Tandy,Mary Stuart Masterson,Mary-Louise Parker
Barton Fink,"Comedy, Drama, Thriller",Joel Coen,Ethan Coen,John Turturro,John Goodman,Judy Davis
Miller's Crossing,"Crime, Drama, Thriller",Joel Coen,Ethan Coen,Gabriel Byrne,Albert Finney,John Turturro
Who Framed Roger Rabbit,"Animation, Adventure, Comedy",Robert Zemeckis,Bob Hoskins,Christopher Lloyd,Joanna Cassidy,Charles Fleischer
Spoorloos,"Mystery, Thriller",George Sluizer,Bernard-Pierre Donnadieu,Gene Bervoets,Johanna ter Steege,Gwen Eckhaus
Withnail & I,"Comedy, Drama",Bruce Robinson,Richard E. Grant,Paul McGann,Richard Griffiths,Ralph Brown
The Last Emperor,"Biography, Drama, History",Bernardo Bertolucci,John Lone,Joan Chen,Peter O'Toole,Ruocheng Ying
Empire of the Sun,"Action, Drama, History",Steven Spielberg,Christian Bale,John Malkovich,Miranda Richardson,Nigel Havers
Der Name der Rose,"Crime, Drama, Mystery",Jean-Jacques Annaud,Sean Connery,Christian Slater,Helmut Qualtinger,Elya Baskin
Blue Velvet,"Drama, Mystery, Thriller",David Lynch,Isabella Rossellini,Kyle MacLachlan,Dennis Hopper,Laura Dern
The Purple Rose of Cairo,"Comedy, Fantasy, Romance",Woody Allen,Mia Farrow,Jeff Daniels,Danny Aiello,Irving Metzman
After Hours,"Comedy, Crime, Drama",Martin Scorsese,Griffin Dunne,Rosanna Arquette,Verna Bloom,Tommy Chong
Zelig,Comedy,Woody Allen,Woody Allen,Mia Farrow,Patrick Horgan,John Buckwalter
The Verdict,Drama,Sidney Lumet,Paul Newman,Charlotte Rampling,Jack Warden,James Mason
Star Trek II: The Wrath of Khan,"Action, Adventure, Sci-Fi",Nicholas Meyer,William Shatner,Leonard Nimoy,DeForest Kelley,James Doohan
First Blood,"Action, Adventure",Ted Kotcheff,Sylvester Stallone,Brian Dennehy,Richard Crenna,Bill McKinney
Ordinary People,Drama,Robert Redford,Donald Sutherland,Mary Tyler Moore,Judd Hirsch,Timothy Hutton
Airplane!,Comedy,Jim Abrahams,David Zucker,Jerry Zucker,Robert Hays,Julie Hagerty
Rupan sansei: Kariosutoro no shiro,"Animation, Adventure, Family",Hayao Miyazaki,Yasuo Yamada,Eiko Masuyama,Kiyoshi Kobayashi,Makio Inoue
Halloween,"Horror, Thriller",John Carpenter,Donald Pleasence,Jamie Lee Curtis,Tony Moran,Nancy Kyes
Le locataire,"Drama, Thriller",Roman Polanski,Roman Polanski,Isabelle Adjani,Melvyn Douglas,Jo Van Fleet
Love and Death,"Comedy, War",Woody Allen,Woody Allen,Diane Keaton,Georges Adet,Frank Adu
The Taking of Pelham One Two Three,"Action, Crime, Thriller",Joseph Sargent,Walter Matthau,Robert Shaw,Martin Balsam,Hector Elizondo
Blazing Saddles,"Comedy, Western",Mel Brooks,Cleavon Little,Gene Wilder,Slim Pickens,Harvey Korman
Serpico,"Biography, Crime, Drama",Sidney Lumet,Al Pacino,John Randolph,Jack Kehoe,Biff McGuire
Enter the Dragon,"Action, Crime, Drama",Robert Clouse,Bruce Lee,John Saxon,Jim Kelly,Ahna Capri
Deliverance,"Adventure, Drama, Thriller",John Boorman,Jon Voight,Burt Reynolds,Ned Beatty,Ronny Cox
The French Connection,"Action, Crime, Drama",William Friedkin,Gene Hackman,Roy Scheider,Fernando Rey,Tony Lo Bianco
Dirty Harry,"Action, Crime, Thriller",Don Siegel,Clint Eastwood,Andrew Robinson,Harry Guardino,Reni Santoni
Where Eagles Dare,"Action, Adventure, War",Brian G. Hutton,Richard Burton,Clint Eastwood,Mary Ure,Patrick Wymark
The Odd Couple,Comedy,Gene Saks,Jack Lemmon,Walter Matthau,John Fiedler,Herb Edelman
The Dirty Dozen,"Action, Adventure, War",Robert Aldrich,Lee Marvin,Ernest Borgnine,Charles Bronson,John Cassavetes
Belle de jour,"Drama, Romance",Luis Buñuel,Catherine Deneuve,Jean Sorel,Michel Piccoli,Geneviève Page
A Man for All Seasons,"Biography, Drama, History",Fred Zinnemann,Paul Scofield,Wendy Hiller,Robert Shaw,Leo McKern
